iter	RMSE
0	1671.403569
1	1622.189408
2	1578.823836
3	1538.316237
4	1499.856073
5	1463.912342
6	1431.07038
7	1402.398313
8	1374.351825
9	1349.126623
10	1325.743166
11	1304.122222
12	1284.886308
13	1267.616314
14	1250.498478
15	1234.941538
16	1221.279967
17	1209.105099
18	1198.481648
19	1187.965998
20	1178.300824
21	1169.412304
22	1161.872773
23	1154.689626
24	1148.717605
25	1142.96709
26	1137.593828
27	1132.957279
28	1128.902146
29	1124.755211
30	1120.966675
31	1117.541846
32	1114.904167
33	1112.561556
34	1109.883996
35	1106.94364
36	1104.670065
37	1102.526814
38	1100.600894
39	1099.083247
40	1097.300522
41	1095.714351
42	1094.351841
43	1093.284171
44	1092.021524
45	1090.937514
46	1089.931931
47	1089.131171
48	1088.200712
49	1087.43547
50	1086.615693
51	1085.935326
52	1085.214804
53	1084.413751
54	1083.709669
55	1083.26275
56	1082.807894
57	1082.247659
58	1081.768718
59	1081.259748
60	1080.931761
61	1080.249233
62	1079.446287
63	1079.219266
64	1078.858962
65	1078.452744
66	1077.968653
67	1077.268602
68	1077.011312
69	1076.837476
70	1076.328384
71	1076.16124
72	1075.656819
73	1075.027269
74	1074.369918
75	1073.771561
76	1073.514801
77	1073.031124
78	1072.363214
79	1071.95879
80	1071.726186
81	1071.357267
82	1071.106642
83	1070.560264
84	1070.038161
85	1069.324814
86	1068.537984
87	1068.203262
88	1067.733405
89	1067.42018
90	1066.907602
91	1066.558264
92	1066.511235
93	1066.210751
94	1065.582402
95	1064.978501
96	1064.591557
97	1064.192318
98	1063.59123
99	1063.229157
100	1062.958484
101	1062.454171
102	1062.102982
103	1061.888179
104	1061.44461
105	1060.977719
106	1060.663438
107	1060.264233
108	1059.989547
109	1059.641292
110	1059.217599
111	1058.601136
112	1058.349365
113	1057.985535
114	1057.361827
115	1057.177623
116	1056.714822
117	1056.128313
118	1055.768036
119	1055.18672
120	1054.944117
121	1054.650426
122	1054.042588
123	1053.44259
124	1053.355671
125	1052.800615
126	1052.300758
127	1052.102534
128	1051.586142
129	1051.400035
130	1050.930321
131	1050.420993
132	1050.172666
133	1050.044498
134	1049.572404
135	1049.295237
136	1049.174466
137	1048.804311
138	1048.461132
139	1048.013057
140	1047.879691
141	1047.613767
142	1047.070543
143	1046.783379
144	1046.48281
145	1045.919658
146	1045.63105
147	1045.406257
148	1045.099319
149	1044.827931
150	1044.539882
151	1044.103705
152	1043.934506
153	1043.788175
154	1043.300188
155	1042.838872
156	1042.444688
157	1042.04543
158	1041.79225
159	1041.526171
160	1041.231983
161	1040.889614
162	1040.619748
163	1040.088202
164	1039.484176
165	1039.125922
166	1038.884789
167	1038.605143
168	1038.36782
169	1038.05186
170	1037.619638
171	1037.223947
172	1036.769187
173	1036.204236
174	1035.89569
175	1035.358475
176	1035.139621
177	1034.871157
178	1034.566302
179	1034.297521
180	1033.813862
181	1033.461924
182	1033.001278
183	1032.771156
184	1032.546366
185	1032.040288
186	1031.78585
187	1031.432724
188	1031.057246
189	1030.759285
190	1030.502112
191	1030.203968
192	1030.007636
193	1029.565133
194	1029.207111
195	1028.737883
196	1028.459714
197	1028.188496
198	1027.970424
199	1027.46331
200	1027.211973
201	1026.92796
202	1026.638291
203	1026.187823
204	1025.934325
205	1025.437062
206	1025.134391
207	1024.838401
208	1024.517361
209	1024.250545
210	1024.015837
211	1023.685215
212	1023.217104
213	1022.850296
214	1022.50982
215	1022.078682
216	1021.803913
217	1021.58372
218	1021.078658
219	1020.410676
220	1020.163089
221	1019.897962
222	1019.559245
223	1019.098722
224	1018.895337
225	1018.660873
226	1018.300644
227	1018.025777
228	1017.506309
229	1017.248853
230	1016.887924
231	1016.311205
232	1015.829531
233	1015.475937
234	1015.212057
235	1014.924323
236	1014.404194
237	1014.246486
238	1013.938603
239	1013.738237
240	1013.306667
241	1013.072338
242	1012.552819
243	1012.22353
244	1011.934759
245	1011.723782
246	1011.534043
247	1011.332467
248	1011.132754
249	1010.629701
250	1010.299744
251	1009.7325
252	1009.185507
253	1008.842357
254	1008.689116
255	1008.310953
256	1008.043697
257	1007.878607
258	1007.563687
259	1007.357663
260	1006.77393
261	1006.568797
262	1006.428854
263	1005.819447
264	1005.704931
265	1005.351348
266	1004.960328
267	1004.494874
268	1004.023137
269	1003.892229
270	1003.333531
271	1003.015149
272	1002.791969
273	1002.363612
274	1001.981687
275	1001.772079
276	1001.567649
277	1001.377848
278	1001.231668
279	1000.9354
280	1000.59368
281	1000.234413
282	999.9196867
283	999.6291486
284	999.2602628
285	998.6943799
286	998.4319538
287	998.2105683
288	997.9950972
289	997.8197246
290	997.4308509
291	997.1963032
292	996.9559013
293	996.4622139
294	996.2490836
295	995.9534268
296	995.5590969
297	995.3277513
298	994.9328123
299	994.6328103
300	994.2514573
301	993.9890526
302	993.7280493
303	993.5556567
304	993.2957624
305	992.808627
306	992.3201617
307	991.956861
308	991.7400806
309	991.4036425
310	991.1522877
311	990.6961123
312	990.4877834
313	990.2983055
314	989.8929898
315	989.5713936
316	989.4138517
317	989.198353
318	988.8016081
319	988.5626015
320	988.3727458
321	988.0775477
322	987.9065418
323	987.5311022
324	987.1080388
325	986.6742251
326	986.4657997
327	986.257332
328	985.963421
329	985.463106
330	985.1310734
331	984.8815133
332	984.648542
333	984.4328413
334	984.0348183
335	983.5352664
336	983.2030406
337	982.8827988
338	982.4326924
339	982.2824989
340	981.9612929
341	981.8132014
342	981.5276736
343	981.0662295
344	980.9325661
345	980.7276391
346	980.2698139
347	980.0236352
348	979.5829484
349	979.2913881
350	979.1023341
351	978.7483052
352	978.6166856
353	978.211514
354	977.9452787
355	977.4402808
356	977.0371397
357	976.721548
358	976.3067806
359	975.8472565
360	975.7683265
361	975.3695777
362	975.0696387
363	974.8055732
364	974.3946304
365	974.1381844
366	973.7728698
367	973.4227138
368	973.2417672
369	972.8831912
370	972.5625116
371	972.3268314
372	972.1275211
373	971.723707
374	971.469993
375	971.1994462
376	970.8938466
377	970.5523369
378	970.3119304
379	970.0987348
380	969.809477
381	969.5636673
382	969.3258433
383	968.966745
384	968.612836
385	968.4634533
386	968.2501209
387	967.6563618
388	967.2897123
389	966.9654526
390	966.644479
391	966.4967414
392	966.301078
393	966.0973356
394	965.9581465
395	965.688529
396	965.4073043
397	964.9022276
398	964.7018169
399	964.519715
400	964.169977
401	963.9404593
402	963.5352773
403	963.2124659
404	962.9596427
405	962.5939271
406	962.1548366
407	961.8704271
408	961.4955123
409	961.1266674
410	960.8953251
411	960.4549419
412	960.1299435
413	959.8044741
414	959.5367778
415	959.4742268
416	959.1963974
417	959.0505825
418	958.8454546
419	958.5612938
420	958.2247495
421	957.9821447
422	957.7229987
423	957.5967164
424	957.2333441
425	957.0946684
426	956.7164363
427	956.6116085
428	956.3850456
429	956.2586135
430	956.1007221
431	955.8082999
432	955.6435815
433	955.513272
434	955.295185
435	954.935961
436	954.8178348
437	954.5323529
438	954.1640299
439	953.8527257
440	953.5837634
441	953.2636399
442	952.8674685
443	952.5872383
444	952.3421531
445	952.0459073
446	951.4727562
447	951.1621765
448	950.9078114
449	950.5434743
450	950.4157161
451	950.1515824
452	949.9481029
453	949.7376906
454	949.6227395
455	949.3705681
456	949.1720371
457	948.8560995
458	948.5506707
459	948.3098462
460	948.2215034
461	947.9710705
462	947.6473439
463	947.1877037
464	946.9550168
465	946.6502393
466	946.3285458
467	946.032416
468	945.68016
469	945.4884293
470	945.1796081
471	944.8430566
472	944.7265036
473	944.2623082
474	943.8169965
475	943.5089017
476	943.3137843
477	943.1617707
478	942.7159112
479	942.4291058
480	942.1157663
481	941.7115467
482	941.3075848
483	941.0381237
484	940.8673556
485	940.5997855
486	940.4287217
487	940.2850255
488	940.1100542
489	939.7197133
490	939.5315314
491	939.2257718
492	938.9877514
493	938.7435849
494	938.4707838
495	938.2223988
496	938.0552761
497	937.842066
498	937.5190701
499	937.3600224
500	937.0868212
501	936.8460282
502	936.5418957
503	936.2427265
504	936.0690014
505	935.7890805
506	935.637325
507	935.4221426
508	935.1179288
509	934.8350418
510	934.5770206
511	934.2645337
512	933.996034
513	933.7031285
514	933.5286371
515	933.3708485
516	933.1242813
517	932.9312617
518	932.6535879
519	932.4649712
520	932.1166702
521	931.9536004
522	931.6351354
523	931.4768546
524	931.3491468
525	931.1181284
526	930.8130812
527	930.4878078
528	930.2530446
529	930.0885341
530	929.9941056
531	929.7005631
532	929.3968017
533	929.1866919
534	928.8628858
535	928.6521961
536	928.3768959
537	928.0747717
538	927.9760682
539	927.837491
540	927.4468278
541	927.0840839
542	926.7886686
543	926.4961642
544	926.2569025
545	926.0561365
546	925.7755321
547	925.6895051
548	925.3869563
549	925.3098065
550	925.0759678
551	924.7661375
552	924.6588772
553	924.4857257
554	924.3409803
555	924.1030454
556	923.756793
557	923.5257547
558	923.3839491
559	923.1732163
560	923.004587
561	922.5356698
562	922.201892
563	922.0574545
564	921.7983919
565	921.6270469
566	921.4504921
567	921.3480745
568	921.0912536
569	920.8738295
570	920.7647259
571	920.4505423
572	920.223192
573	920.0761326
574	919.7192454
575	919.4775142
576	919.2431445
577	919.0973545
578	918.9356727
579	918.6882262
580	918.5200553
581	918.3175172
582	917.9615258
583	917.7391016
584	917.3394822
585	917.0444429
586	916.8659723
587	916.7278389
588	916.3676996
589	916.0203541
590	915.7621818
591	915.6400109
592	915.3813493
593	915.0642836
594	914.853308
595	914.5824618
596	914.3043117
597	913.9960909
598	913.8278864
599	913.5171589
600	913.1686748
601	912.9112806
602	912.774336
603	912.6374668
604	912.3330533
605	912.1276373
606	911.9403575
607	911.8596838
608	911.6423142
609	911.2951218
610	911.0151144
611	910.7744847
612	910.4800006
613	910.1486617
614	909.9426806
615	909.67853
616	909.4111849
617	909.2344152
618	908.9788962
619	908.6860271
620	908.4562074
621	908.2638597
622	908.1331485
623	907.9434071
624	907.8100109
625	907.5911251
626	907.4613606
627	907.3961276
628	907.1193453
629	906.902336
630	906.7069114
631	906.5819004
632	906.4794063
633	906.26253
634	905.9880145
635	905.7154318
636	905.4231798
637	905.2367531
638	905.0889639
639	904.9967386
640	904.7749632
641	904.6303509
642	904.5010141
643	904.2486207
644	904.0300852
645	903.7459893
646	903.520568
647	903.4000373
648	903.2219702
649	903.1510239
650	902.9270775
651	902.4890661
652	902.2614195
653	902.1037827
654	901.9300433
655	901.6211928
656	901.4130675
657	901.0929141
658	901.027334
659	900.8126051
660	900.533419
661	900.2364927
662	900.0238408
663	899.8057975
664	899.5499398
665	899.4785051
666	899.2688836
667	898.9910049
668	898.7320965
669	898.4987438
670	898.0816232
671	897.9284871
672	897.7358516
673	897.5990063
674	897.3824204
