iter	Passed	Remaining
0	4	4094
1	7	3534
2	11	3980
3	16	4058
4	18	3638
5	20	3454
6	23	3361
7	25	3177
8	28	3114
9	29	2961
10	31	2837
11	33	2737
12	34	2641
13	36	2565
14	38	2501
15	39	2442
16	41	2389
17	42	2336
18	44	2288
19	45	2246
20	47	2212
21	48	2176
22	50	2147
23	52	2123
24	54	2106
25	55	2079
26	57	2055
27	58	2031
28	60	2026
29	61	2004
30	63	1988
31	65	1968
32	67	1973
33	69	1960
34	70	1945
35	72	1940
36	74	1933
37	75	1919
38	77	1907
39	79	1904
40	80	1892
41	82	1878
42	84	1869
43	85	1862
44	87	1851
45	88	1840
46	90	1831
47	92	1824
48	93	1820
49	95	1812
50	97	1806
51	98	1788
52	100	1789
53	101	1782
54	103	1775
55	105	1770
56	106	1765
57	108	1759
58	109	1751
59	111	1744
60	113	1739
61	114	1735
62	116	1728
63	117	1725
64	119	1722
65	121	1718
66	123	1718
67	125	1724
68	127	1722
69	129	1718
70	131	1718
71	133	1723
72	135	1718
73	136	1712
74	138	1714
75	140	1707
76	141	1700
77	143	1696
78	145	1695
79	146	1689
80	148	1684
81	150	1679
82	152	1683
83	154	1679
84	155	1674
85	157	1669
86	159	1670
87	161	1671
88	163	1668
89	165	1669
90	166	1664
91	168	1660
92	169	1651
93	171	1652
94	173	1652
95	175	1648
96	176	1646
97	178	1645
98	180	1642
99	182	1639
100	184	1639
101	186	1641
102	188	1640
103	190	1639
104	192	1641
105	194	1638
106	196	1636
107	197	1634
108	199	1630
109	201	1628
110	203	1630
111	205	1629
112	208	1633
113	210	1635
114	212	1632
115	214	1638
116	219	1660
117	222	1665
118	224	1664
119	226	1661
120	228	1661
121	230	1662
122	233	1666
123	236	1669
124	237	1665
125	239	1660
126	241	1659
127	243	1656
128	244	1652
129	246	1647
130	247	1644
131	249	1641
132	251	1640
133	253	1637
134	255	1636
135	256	1632
136	258	1629
137	260	1627
138	262	1623
139	263	1619
140	265	1616
141	267	1614
142	268	1611
143	270	1606
144	271	1602
145	273	1599
146	274	1595
147	276	1591
148	278	1588
149	279	1584
150	281	1580
151	282	1577
152	284	1573
153	285	1570
154	287	1566
155	288	1563
156	290	1560
157	292	1557
158	294	1556
159	295	1552
160	297	1549
161	298	1546
162	300	1542
163	301	1538
164	303	1535
165	305	1533
166	306	1529
167	308	1526
168	309	1523
169	311	1520
170	313	1517
171	314	1514
172	316	1511
173	317	1508
174	319	1506
175	321	1503
176	322	1499
177	324	1496
178	325	1493
179	327	1491
180	329	1488
181	330	1485
182	332	1483
183	333	1480
184	335	1478
185	337	1475
186	338	1472
187	340	1469
188	341	1466
189	343	1462
190	344	1460
191	346	1457
192	347	1454
193	349	1451
194	350	1448
195	352	1444
196	353	1442
197	355	1438
198	356	1436
199	358	1433
200	359	1430
201	361	1426
202	362	1423
203	364	1421
204	365	1418
205	367	1415
206	368	1412
207	370	1409
208	371	1407
209	373	1405
210	375	1402
211	377	1401
212	378	1399
213	380	1396
214	381	1393
215	383	1391
216	384	1388
217	386	1386
218	387	1383
219	389	1380
220	390	1378
221	392	1375
222	394	1374
223	395	1371
224	397	1370
225	399	1368
226	401	1365
227	402	1363
228	404	1361
229	406	1359
230	407	1356
231	409	1354
232	410	1351
233	412	1348
234	413	1346
235	415	1343
236	416	1341
237	418	1338
238	419	1336
239	421	1334
240	422	1332
241	424	1329
242	426	1328
243	428	1326
244	430	1325
245	431	1323
246	433	1320
247	434	1317
248	436	1316
249	437	1313
250	439	1311
251	440	1308
252	442	1306
253	444	1305
254	446	1303
255	447	1301
256	449	1299
257	451	1297
258	452	1294
259	454	1292
260	455	1289
261	457	1289
262	459	1286
263	460	1284
264	462	1282
265	464	1280
266	465	1278
267	467	1276
268	468	1274
269	470	1273
270	472	1271
271	474	1269
272	475	1267
273	477	1265
274	479	1263
275	480	1260
276	482	1258
277	483	1256
278	485	1254
279	486	1251
280	488	1249
281	490	1247
282	491	1245
283	493	1243
284	494	1241
285	496	1239
286	498	1237
287	499	1235
288	501	1233
289	502	1231
290	504	1228
291	505	1226
292	507	1224
293	508	1222
294	510	1220
295	512	1218
296	513	1215
297	515	1213
298	516	1211
299	518	1210
300	520	1208
301	522	1207
302	524	1206
303	526	1204
304	528	1203
305	529	1201
306	531	1200
307	533	1199
308	536	1199
309	538	1197
310	541	1198
311	543	1198
312	546	1199
313	550	1202
314	551	1200
315	555	1203
316	557	1201
317	562	1205
318	568	1213
319	571	1214
320	576	1219
321	580	1222
322	583	1223
323	587	1226
324	592	1229
325	597	1236
326	603	1241
327	607	1245
328	627	1280
329	634	1288
330	640	1295
331	643	1295
332	651	1304
333	655	1307
334	664	1319
335	668	1321
336	673	1325
337	677	1326
338	681	1329
339	683	1327
340	688	1329
341	692	1332
342	695	1331
343	696	1329
344	700	1330
345	703	1329
346	707	1330
347	709	1329
348	713	1330
349	718	1333
350	720	1331
351	722	1329
352	727	1332
353	729	1331
354	734	1334
355	736	1332
356	742	1337
357	746	1339
358	754	1346
359	755	1343
360	757	1341
361	760	1340
362	762	1338
363	767	1340
364	768	1337
365	772	1338
366	774	1336
367	778	1336
368	781	1335
369	783	1333
370	786	1333
371	789	1332
372	792	1332
373	794	1329
374	795	1326
375	798	1324
376	799	1321
377	800	1318
378	802	1315
379	804	1312
380	806	1309
381	807	1306
382	809	1304
383	811	1301
384	812	1298
385	814	1295
386	815	1292
387	817	1289
388	819	1286
389	820	1284
390	823	1282
391	824	1279
392	826	1276
393	828	1273
394	829	1271
395	831	1268
396	832	1265
397	834	1262
398	836	1259
399	837	1256
400	839	1253
401	840	1250
402	842	1248
403	844	1245
404	846	1243
405	847	1240
406	850	1238
407	851	1236
408	853	1233
409	855	1231
410	857	1228
411	858	1225
412	860	1223
413	862	1221
414	864	1218
415	866	1216
416	868	1214
417	870	1211
418	871	1208
419	873	1205
420	875	1203
421	877	1201
422	878	1198
423	880	1195
424	882	1194
425	884	1191
426	886	1188
427	888	1187
428	889	1184
429	891	1181
430	892	1178
431	894	1176
432	896	1173
433	897	1170
434	899	1168
435	901	1165
